id,site_name,existing_device_client,capacity,latitude,longitude,feasibility_client,feasibility_mbps,comment,booked_by,expiry_date,interface,city,division,district,location,address,created_at
30,MGSDR08,ROBI,1000,23.841759,89.980172,Agni,4,CR,rabeya.akter,"2018-03-31 11:25:46",ge-0/2/2,ManikganjSadar,Dhaka,Manikganj,Z5064,Z5064,"2018-03-22 11:26:35"
31,DHGULXA01ES01,SCL,1000,23.77478,90.41703,Aamra,25,CR,rabeya.akter,"2018-03-31 12:45:13",Port21,DMP,Dhaka,Dhaka,Dhaka,"Road Number 137","2018-03-22 12:48:27"
32,MYBLK01-AGG,SCL,1000,24.4049,90.3859,Bracnet,30,Requirement,partha.sarkar,"2018-04-20 13:00:22",ge-1/1/3,Bhaluka,Mymensingh,Mymensingh,Bhaluka,Bhaluka,"2018-03-22 13:07:34"
33,SYBNB14,ROBI,1000,24.8075,92.1865,"Brac Net",20,REQ,partha.sarkar,"2018-04-22 13:10:38",ge-0/2/3,BeaniBazar,Sylhet,Sylhet,Kunagram,Kunagram,"2018-03-22 13:17:28"
34,NTBRG01_2200,ROBI,1000,24.2892,89.082,"Brac Net",10,Req,partha.sarkar,"2018-04-22 13:15:26",ge-0/2/0,Baraigram,Rajshahi,Natore,Bonpara,Bonpara,"2018-03-22 13:20:12"
35,TNSDR03,ROBI,1000,24.2227,89.9788,"Brac Net",10,REQ,partha.sarkar,"2018-04-22 13:30:33",ge-0/2/2,TangailSadar,Dhaka,Tangail,Karatia,Korotia,"2018-03-22 13:32:30"
36,DHPOS5,GP,1000,23.693389,90.432583,"Brac Net",2,REQ,partha.sarkar,"2018-04-22 13:45:04",ge-0/1/3,DMP,Dhaka,Dhaka,Dhaka,"Plot No. 63-64, Postogola Industrial Area, P.S: Shyampur, Dhaka.","2018-03-22 13:48:59"
37,DHFKR8,GP,1000,23.733917,90.417472,"winner Communications",20,Req,partha.sarkar,"2018-04-22 16:20:03",ge-0/1/0,DMP,Dhaka,Dhaka,Dhaka,"Holding No. 54/1, Fakirapul, Dhaka.","2018-03-22 16:20:35"
38,TNMDPA01ES01,SCL,100,24.60473,90.027539,"Brac Net",10,REQ,partha.sarkar,"2018-04-22 16:30:34",Port6,Madhupur,Dhaka,Tangail,Madhupur,"Joydevpur - Tangail - Jamalpur Highway","2018-03-22 16:32:14"
39,MBSRMP01JR01,ROBI,1000,24.30776,91.70227,"Brac Net",20,REQ,partha.sarkar,"2018-04-22 16:30:54",ge-0/1/0,Sreemangal,Sylhet,Maulavirbazar,Sreemangal,"Uttorshor, Srimongol, Moulovibazar","2018-03-22 16:34:38"
40,MBBRL02,ROBI,1000,24.768,92.1572,"Brac Net",20,REQ,partha.sarkar,"2018-04-22 16:35:37",ge-0/2/3,Barlekha,Sylhet,Maulavirbazar,Baraigram__Borolekha,Baraigram__Borolekha,"2018-03-22 16:37:02"
41,SNJGN01,ROBI,1000,24.769183,91.545967,"Brac Net",20,REQ,partha.sarkar,"2018-04-22 16:35:20",ge-0/2/2,Jagannathpur,Sylhet,Sunamganj,"Jagannathpur Town","Auskandi - Raniganj - Jagannathpur - Pagla Road","2018-03-22 16:39:44"
42,DHTJGK,GP,1000,23.77025,90.408056,"Innovative Online",5,REQ,partha.sarkar,"2018-04-22 17:30:54",ge-0/1/3,DMP,Dhaka,Dhaka,Dhaka,"189/A/2, Tejgaon, Industrial Area, P.S. Tejgaon,Dhaka","2018-03-22 17:34:29"
43,NOBGM26A01ES01,SCL,1000,22.944433,91.104744,Nextgen,50,req,partha.sarkar,"2018-04-22 19:00:20",Port20,Begumganj,Chittagong,Noakhali,Begumganj,Begumganj,"2018-03-22 19:03:07"
44,RPMTH25,ROBI,1000,25.5712,89.2747,Nextgen,50,REQ,partha.sarkar,"2018-04-22 19:00:27",ge-1/1/2,MithaPukur,Rangpur,Rangpur,Durgapur,Mithapukur,"2018-03-22 19:04:44"
45,NOSNB08,ROBI,1000,23.072612,91.163532,Test,300,"test booking",ahnaf.muttaki,"2018-03-31 23:55:31",ge-0/1/2,Sonaimuri,Chittagong,Noakhali,Birahimpur,Birahimpur,"2018-03-23 11:00:09"
46,DHBNNB,GP,1000,23.793602,90.407222,"AFTAB IT",50,req,partha.sarkar,"2018-04-25 17:15:55",ge-0/1/2,DMP,Dhaka,Dhaka,Dhaka,"54, Kamal Ataturk Avenue, Banani, Dhaka-1213","2018-03-25 13:18:44"
47,DHK_X0007,Banglalink,1000,23.804098,90.409284,"Cosmopolitan Communications ltd",5,req,partha.sarkar,"2018-04-22 13:50:57",ge-1/2/1,DMP,Dhaka,Dhaka,Dhaka,"House- 14/B, Road- 68, Gulshan-2, Dhaka.","2018-03-25 13:51:35"
48,DHK_X0384,Banglalink,1000,23.60955,90.50277,CCL,15,Req,partha.sarkar,"2018-04-22 15:55:13",ge-1/1/3,NarayanganjSadar,Dhaka,Narayanganj,Narayanganj,"32/1,B.B. Road,Mondal Para,Narayanganj.","2018-03-25 13:56:27"
49,CGGECC01JR01,SCL,1000,22.358483,91.824898,CCL,10,REQ,partha.sarkar,"2018-04-22 14:30:23",ge-1/1/9,Fatikchhari,Chittagong,Chittagong,"Evergreen Clinic, Golpahar More, Chittagong","Evergreen Clinic, Golpahar More, Chittagong","2018-03-25 14:35:11"
50,SYALHT-HO,GP,1000,24.897306,91.868056,CCL,10,REQ,partha.sarkar,"2018-04-22 14:35:00",ge-0/2/1,SylhetSadar,Sylhet,Sylhet,Sylhet,"Alhamra,Sylhet","2018-03-25 14:37:15"
51,DHK_X2591,Banglalink,1000,24.75866,90.40478,CCL,10,REQ,partha.sarkar,"2018-03-25 14:40:30",ge-1/1/3,MymensinghSadar,Mymensingh,Mymensingh,Mymensingh,"Abdullah al Mamun,Mamun money Changer, Rambabu Road, Mymensingh Sadar, Mymensingh","2018-03-25 14:40:34"
52,BAR_X0008,Banglalink,1000,22.705756,90.370719,CCL,10,REQ,partha.sarkar,"2018-04-22 14:40:41",ge-1/1/2,BarisalSadar(kotwali),Barisal,Barisal,Barisal,"95 Badar Road, Barisal","2018-03-25 14:42:44"
53,RSSDRB01JR01,SCL,1000,24.362772,88.604075,CCL,10,REQ,partha.sarkar,"2018-03-25 15:50:10",ge-0/3/6,Boalia,Rajshahi,Rajshahi,Rajshahi,"Zs Plate, 133/1, Kumar para, Alu Patti, Rajshahi","2018-03-25 15:52:16"
54,KHDLP01,ROBI,1000,22.8716,89.5246,CCL,10,REQ,partha.sarkar,"2018-04-22 16:00:08",ge-0/1/3,Daulatpur,Khulna,Khulna,Khulna,Doulatpur,"2018-03-25 16:00:09"
55,KHDLP01,ROBI,1000,22.8716,89.5246,CCL,10,REQ,partha.sarkar,"2018-04-22 15:55:56",ge-0/1/1,Daulatpur,Khulna,Khulna,Khulna,Doulatpur,"2018-03-25 16:01:06"
56,KHDLP01,ROBI,1000,22.8716,89.5246,CCL,10,q,partha.sarkar,"2018-04-15 16:15:44",ge-0/1/1,Daulatpur,Khulna,Khulna,Khulna,Doulatpur,"2018-03-25 16:16:45"
57,CXSDR34,ROBI,1000,21.44,91.97658333,CCL,10,Q,partha.sarkar,"2018-04-22 08:40:32",ge-0/1/0,CoxsBazarSadar,Chittagong,"Coxs Bazar","Coxs Bazar","General Hospital,Coxs","2018-03-25 16:18:32"
58,SYSDR08,ROBI,1000,24.9091,91.8387,CCL,1,Q,partha.sarkar,"2018-03-30 17:00:18",ge-0/2/2,SylhetSadar,Sylhet,Sylhet,Sylhet,Akhalia,"2018-03-25 17:01:24"
59,MYBLK02,ROBI,1000,24.3074,90.3854,CCL,1,Q,partha.sarkar,"2018-03-30 17:00:51",ge-0/2/2,Bhaluka,Mymensingh,Mymensingh,Hobirbari,Hobirbari,"2018-03-25 17:03:54"
60,TNSDRB01JR01,SCL,1000,24.2665333,89.9263995,"Genius internet",20,q,partha.sarkar,"2018-04-05 18:10:32",ge-0/1/7,TangailSadar,Dhaka,Tangail,Tangail,"34, Road-2, Plot- A, Nersary Road, New Bus Stand, Kodalia, Tangail-1900","2018-03-25 18:15:39"
61,DHMS2M,GP,1000,23.805944,90.36275,CCL,5,Q,partha.sarkar,"2018-04-22 05:25:18",ge-0/1/2,DMP,Dhaka,Dhaka,Dhaka,"House No:38, Road No:11, Block-H, Section 2, Mirpur Dhaka-1216","2018-03-25 18:51:26"
62,CM2635,AIRTEL,1000,23.3101,91.0843,"Bright Teq",1,CR,rabeya.akter,"2018-03-31 12:10:22",ge-0/2/1,Barura,Chittagong,Comilla,Bizra,"Comilla - Chandpur Highway","2018-03-27 12:11:51"
