Hostname,Resource Name,IP Address,Alias,Resource,Average,Minimum,Maximum,95th Percentile
DHK_X1828,xe-1/3/0,10.4.1.131,To-DHK_X0470,xe-1/3/0,1,1,1,1
CGPTG04,xe-0/3/0,10.33.136.128,To-PA-CGPRT15,xe-0/3/0,1,1,1,1
NGSDR24A01ES01,Port3,172.30.109.26,Agni_DHK-to-NGSDR24_2556,Port3,1,1,1,1
DHK_X2054,GigabitEthernet0/2/3,10.192.5.129,To-GPTONT,GigabitEthernet0/2/3,1,1,1,1
DHPTNC01JR01,ge-1/0/8,10.1.0.141,To-DHMJH01_Ring_187,ge-1/0/8,1,1,1,1
DHRYBB,ge-0/1/2,10.1.83.133,To-DHRB3ZW-Pico_Cell,ge-0/1/2,1,1,1,1
DHK_X3490,GigabitEthernet0/2/2,10.4.41.128,"HUAWEI, GigabitEthernet0/2/2 Interface",GigabitEthernet0/2/2,1,1,1,1
NASDRB01JR01,xe-1/3/0,10.105.0.128,,xe-1/3/0,1,1,1,1
MGSDR01A01ES01,Port3,172.30.95.2,ADN-DHK-MGSDR01,Port3,1,1,1,1
DHK_X2197,GigabitEthernet0/2/17,10.192.5.128,"HUAWEI, GigabitEthernet0/2/17 Interface",GigabitEthernet0/2/17,1,1,1,1
IT-Sw-Mail-Server,gi21,172.16.116.11,,gi21,1,1,1,1
CXTKN53,ge-0/1/1,10.45.100.132,To-CTG_X0274,ge-0/1/1,1,1,1,1
MNSDR07-PAGG,GigabitEthernet0/2/3,10.101.100.128,NGSDRB01JR02_MX240_2nd_10GE,GigabitEthernet0/2/3,1,1,1,1
TNKLH03-PAGG,GigabitEthernet0/2/3,10.161.100.129,To-BL_DHK_X1926_OH,GigabitEthernet0/2/3,1,1,1,1
NGSDR42,GigabitEthernet0/2/18,10.109.101.134,To_ADNSL_DHK-To-NGSDR42_2484,GigabitEthernet0/2/18,1,1,1,1
DHMPRN,ge-0/1/1,10.1.15.128,To-DHMRPQ_Ring-15_OH+UG,ge-0/1/1,1,1,1,1
NOMJD10,xe-0/3/1,10.119.109.133,To-NOMJD06,xe-0/3/1,1,1,1,1
GPHouse-HO,ge-1/1/2,10.1.0.138,,ge-1/1/2,1,1,1,1
RSGDG01,ge-0/1/2,10.31.101.131,,ge-0/1/2,1,1,1,1
RSGDG01,ge-0/1/0,10.31.101.131,,ge-0/1/0,1,1,1,1
RSGDG01,ge-0/1/1,10.31.101.131,,ge-0/1/1,1,1,1,1
NSMND01,GigabitEthernet0/2/0,10.111.101.129,"HUAWEI, GigabitEthernet0/2/0 Interface",GigabitEthernet0/2/0,1,1,1,1
MBKLR01A01ES01,Port10,172.30.97.6,UNI:adns_131118_031_nb,Port10,1,1,1,1
CP2903,ge-0/2/0,10.29.103.128,,ge-0/2/0,1,1,1,1
PALTAN-IIG-AGG.summitiig.net,TenGigE0/1/0/19,172.16.201.241,PALTAN-AGG-TO-UTTARA-AGG-Te0/2/0/15,TenGigE0/1/0/19,1,1,1,1
PALTAN-IIG-AGG.summitiig.net,TenGigE0/0/0/2,172.16.201.241,PALTAN-AGG-TO-UTTARA-AGG-Te0/2/0/14,TenGigE0/0/0/2,1,1,1,1
PALTAN-IIG-AGG.summitiig.net,TenGigE0/0/0/8,172.16.201.241,PALTAN-AGG-TO-UTTARA-AGG-Te0/2/0/16,TenGigE0/0/0/8,1,1,1,1
NGSDRB01JR01,ge-0/2/6,10.109.100.128,To-NG2138-Active,ge-0/2/6,1,1,1,1
PALTAN-IIG-AGG.summitiig.net,TenGigE0/0/0/1,172.16.201.241,PALTAN-AGG-TO-UTTARA-AGG-Te0/2/0/13,TenGigE0/0/0/1,1,1,1,1
PALTAN-IIG-AGG.summitiig.net,TenGigE0/0/0/14,172.16.201.241,PALTAN-AGG-TO-UTTARA-AGG-Te0/2/0/12,TenGigE0/0/0/14,1,1,1,1
DHKTL15,ge-0/2/2,10.1.111.131,To-Ring_114-DHKTL10-OH,ge-0/2/2,1,1,1,1
DHK_X4262,Eth-Trunk0,10.192.4.131,"HUAWEI, Eth-Trunk0 Interface",Eth-Trunk0,1,1,1,1
MOU0014,ge-0/0/0,10.210.201.128,To_TeleTalk-2G-Service,ge-0/0/0,1,1,1,1
DC-IIG-SW-12.summitiig.net,Ethernet1/2,172.16.201.50,TO-DC-Sw4-Te0/2,Ethernet1/2,1,1,1,1
NGSDRB01JR02_MX240,xe-2/2/0,10.109.0.151,MNSDR07_1st_10GE,xe-2/2/0,1,1,1,1
NAR0077,ge-0/2/1,10.191.104.128,To-NGSNG29,ge-0/2/1,1,1,1,1
PBISRA01ECS01,Port24,172.30.121.2,NNI:PBISR01-g-0/2/19-PBISRA01ECS01-Eth1/24,Port24,1,1,1,1
NGRPG03,GigabitEthernet0/2/3,10.109.105.132,To-Telnet_summit_pop_To_Narayanganj_tlnt_220615_01_nb,GigabitEthernet0/2/3,1,1,1,1
SYJPM1,Ethernet0/0/0,10.153.8.130,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
DPBRM01,ge-0/2/3,10.47.103.128,To-DPHKM01,ge-0/2/3,1,1,1,1
DHK_X4028,xe-1/3/1,10.4.2.132,To-DHMRPB01JR01,xe-1/3/1,1,1,1,1
BSGND01,GigabitEthernet0/2/1,10.15.101.129,To-BSGND03,GigabitEthernet0/2/1,1,1,1,1
NGSNG02,xe-0/3/0,10.109.106.128,,xe-0/3/0,1,1,1,1
SCL-IIG-CTG-AGG.summitiig.net,Te5/0/2,172.16.201.246,TO-GEC-NEX-SW3-Eth1/1-LINK-1,Te5/0/2,1,1,1,1
DHK_X0402,xe-1/3/1,10.4.17.130,To-DHK_X0015,xe-1/3/1,1,1,1,1
PER0008-HO,ge-1/1/2,10.127.200.128,,ge-1/1/2,1,1,1,1
SNCTK01A01ES02,Port5,172.30.151.6,IIG_GeniusIT_Palton_to_SNCTK01_Internet,Port5,1,1,1,1
MYSDR10,GigabitEthernet0/2/16,10.103.103.132,"HUAWEI, GigabitEthernet0/2/16 Interface",GigabitEthernet0/2/16,1,1,1,1
CGPCH25,ge-0/2/1,10.33.105.128,TO-Ring-105_CGPCH18-OH,ge-0/2/1,1,1,1,1
DHEPZ6,ge-0/1/1,10.1.42.131,To-DHEPZ4_Ring-42_OH,ge-0/1/1,1,1,1,1
PTSDRB02HTR02,GigabitEthernet0/2/26,10.125.0.129,To-PTSDRBO1JR01,GigabitEthernet0/2/26,1,1,1,1
ITSwTK1-0,gi2,172.20.16.40,WAP-1,gi2,1,1,1,1
CTG_X0692,xe-1/3/1,10.195.1.129,To-CTG_X0092,xe-1/3/1,1,1,1,1
CGCSP1,ge-0/0/0,10.33.14.131,To-GP_CGCSP1,ge-0/0/0,1,1,1,1
DHPLB08,ge-0/1/0,10.1.132.132,To-DHPLBB1_Ring132_OH+UG,ge-0/1/0,1,1,1,1
NOCMP14,xe-0/3/0,10.119.117.131,To-NO3157,xe-0/3/0,1,1,1,1
FIROZ-HO,ge-0/2/7,10.1.100.157,To-DHCNT41_Ring_217,ge-0/2/7,1,1,1,1
KUSDR14,GigabitEthernet0/2/16,10.85.102.128,"HUAWEI, GigabitEthernet0/2/16 Interface",GigabitEthernet0/2/16,1,1,1,1
BOSDRC01JR01,xe-0/0/5,10.25.0.129,To-GBGBD03_20GE_BB_1st,xe-0/0/5,1,1,1,1
DHSHM19,ge-0/2/0,10.1.102.128,TO-RING102_DHSHM17-OH,ge-0/2/0,1,1,1,1
TNSDR04,ge-0/1/1,10.161.101.131,,ge-0/1/1,1,1,1,1
MNTGB12,Ethernet0/0/0,10.101.102.130,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
RAJ_X0235,ge-1/1/3,10.226.2.131,,ge-1/1/3,1,1,1,1
DHMRPE,ge-0/0/3,10.1.15.134,,ge-0/0/3,1,1,1,1
RAJ_X0235,ge-1/1/1,10.226.2.131,,ge-1/1/1,1,1,1,1
RAJ_X0235,ge-1/1/0,10.226.2.131,,ge-1/1/0,1,1,1,1
RPMTH02,xe-2/0/0,10.141.101.129,To-DPPBT02_HO_MX_1st-BB-Link,xe-2/0/0,1,1,1,1
BHDLT01,GigabitEthernet0/2/1,10.23.101.132,To-BHSDR08,GigabitEthernet0/2/1,1,1,1,1
MBSDR09,Ethernet0/0/0,10.97.102.129,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
MASDR02-AGG,ge-0/2/0,10.93.100.128,To-MASDR02_MX_104,ge-0/2/0,1,1,1,1
KUS0010-HO,ge-1/0/0,10.200.200.128,To-TBL_HO-0/0/17,ge-1/0/0,1,1,1,1
CGKHL27,ge-0/2/0,10.33.108.132,TO-CGDMG49-RING108,ge-0/2/0,1,1,1,1
DPSDR01,ge-0/2/3,10.47.101.128,To-Link3-Bogra-Dijanpur,ge-0/2/3,1,1,1,1
UDAY-HO,ge-1/3/0,10.1.100.158,To-DHGUL46-Ring153,ge-1/3/0,1,1,1,1
SYMNB1,GigabitEthernet0/2/18,10.153.4.131,"HUAWEI, GigabitEthernet0/2/18 Interface",GigabitEthernet0/2/18,1,1,1,1
DHK_X2514,ge-0/2/3,10.4.7.129,,ge-0/2/3,1,1,1,1
DHK_X2514,ge-0/2/2,10.4.7.129,,ge-0/2/2,1,1,1,1
DHBAD1,ge-0/1/0,10.1.54.131,To-DHBAR3_UG_OH_RING_54,ge-0/1/0,1,1,1,1
DHDHNC01JR01,xe-4/2/0,10.1.0.129,SCL_BDIX_SCL_Switch,xe-4/2/0,1,1,1,1
NIL0016,ge-0/1/0,10.117.202.130,,ge-0/1/0,1,1,1,1
DHBANC01JR01,ge-3/3/6,10.1.0.128,To-DHK_X0173,ge-3/3/6,1,1,1,1
SYSDR78,GigabitEthernet0/2/4,10.153.113.128,"HUAWEI, GigabitEthernet0/2/4 Interface",GigabitEthernet0/2/4,1,1,1,1
SNCTK25,GigabitEthernet0/2/18,10.153.108.128,"HUAWEI, GigabitEthernet0/2/18 Interface",GigabitEthernet0/2/18,1,1,1,1
DHKGN19,GigabitEthernet0/2/0,10.1.222.128,UNI:DHKGN19-ge-0/1/0-invo_021018_60_nd,GigabitEthernet0/2/0,1,1,1,1
MNSDR07-PAGG,GigabitEthernet0/2/20,10.101.100.128,,GigabitEthernet0/2/20,1,1,1,1
NO3115_2,xe-0/3/0,10.119.100.132,To-NO3115,xe-0/3/0,1,1,1,1
DHDHN46,ge-0/2/0,10.1.124.128,TO-Ring_124-DHKRBC01JR01-UG_OH,ge-0/2/0,1,1,1,1
RAJ_X0307,xe-0/3/1,10.234.1.129,NNI:NASDRB01-,xe-0/3/1,1,1,1,1
BMSDR02,ge-0/2/1,10.27.100.135,,ge-0/2/1,1,1,1,1
BMSDR02,ge-0/2/0,10.27.100.135,COM_RING104_BMSDR20-BMSDR02,ge-0/2/0,1,1,1,1
SYL_X0138,GigabitEthernet0/2/24,10.156.4.128,To-SNCTK02,GigabitEthernet0/2/24,1,1,1,1
DHK_X1862,Ethernet0/0/0,10.211.1.130,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
CTG-GGC-SW.summitiig.net,BD8,172.16.201.66,GGC-SW-ACCESS,BD8,1,1,1,1
Tigers-Den,xe-2/0/1,10.1.180.128,,xe-2/0/1,1,1,1,1
CMHMN10,xe-0/3/1,10.43.106.128,To-CMMDN04,xe-0/3/1,1,1,1,1
JKRZP02,GigabitEthernet0/2/1,10.65.100.128,"HUAWEI, GigabitEthernet0/2/1 Interface",GigabitEthernet0/2/1,1,1,1,1
NOKBH14,ge-1/0/1,10.119.107.128,,ge-1/0/1,1,1,1,1
DHKRBC01JR01P_MX480,et-1/1/0,10.1.0.152,To-DHPTNC01JR01,et-1/1/0,1,1,1,1
FN3207,xe-0/3/1,10.51.100.131,To-FN3207,xe-0/3/1,1,1,1,1
SYBNB12,GigabitEthernet0/2/24,10.153.103.131,TO-RING_103-SYBNB06_OH,GigabitEthernet0/2/24,1,1,1,1
FPSDR07_ACX2200,GigabitEthernet0/2/2,10.49.100.128,To-Ring101-FPSDR09,GigabitEthernet0/2/2,1,1,1,1
DHJTB22,ge-0/1/0,10.1.105.131,,ge-0/1/0,1,1,1,1
DH-2-HO,ge-0/1/1,10.1.100.175,,ge-0/1/1,1,1,1,1
DH-2-HO,ge-0/1/0,10.1.100.175,,ge-0/1/0,1,1,1,1
UTTARA-AGG-RTR.summitiig.net,TenGigE0/2/0/0,172.16.201.237,TO-UTTARA-SW5-ETH1/4-LONGHAUL,TenGigE0/2/0/0,1,1,1,1
MYSDR03,ge-0/2/1,10.103.101.128,To-MYSDR36_RING_101_OH,ge-0/2/1,1,1,1,1
KSBJT02,GigabitEthernet0/2/12,10.81.100.131,"HUAWEI, GigabitEthernet0/2/12 Interface",GigabitEthernet0/2/12,1,1,1,1
PALTAN-IIG-NEXUS-SW4.summitiig.n,Ethernet1/13,172.16.201.78,@@CCL-PALTAN-INTERNET@@,Ethernet1/13,1,1,1,1
CXUKH06,ge-0/1/3,10.45.101.129,,ge-0/1/3,1,1,1,1
DHMRPB01JR01,ge-2/3/6,10.1.0.135,To-DHBUB1-Ring-53,ge-2/3/6,1,1,1,1
IT-Sw-Mail-Server,gi12,172.16.116.11,To-Mikrotik_VPN,gi12,1,1,1,1
SPSDR01A01ES01,Port5,172.30.145.2,BracNet_DHK_to_SPSDR01_PoP,Port5,1,1,1,1
NKSDR03,GigabitEthernet0/2/0,10.115.101.130,To-NKSDR02_101_OH,GigabitEthernet0/2/0,1,1,1,1
TAN0007,ge-0/2/0,10.220.204.128,To-TAN0004,ge-0/2/0,1,1,1,1
GPSDR15,ge-0/1/1,10.55.105.138,To-allocated_for52_backhaul,ge-0/1/1,1,1,1,1
BOSDRC01JR01,xe-0/0/8,10.25.0.129,,xe-0/0/8,1,1,1,1
Shahjibazar PGCB Switch,Port8,172.30.59.2,,Port8,1,1,1,1
BOSDRC01JR01,xe-0/0/6,10.25.0.129,,xe-0/0/6,1,1,1,1
BOSDRC01JR01,xe-0/0/2,10.25.0.129,,xe-0/0/2,1,1,1,1
BOSDRC01JR01,xe-0/0/1,10.25.0.129,,xe-0/0/1,1,1,1,1
CMSDRC01JR01,xe-2/2/3,10.43.0.128,To-CMMDN04,xe-2/2/3,1,1,1,1
CGHTZ47,ge-0/1/1,10.33.155.128,,ge-0/1/1,1,1,1,1
BAR_X0119,GigabitEthernet0/2/3,10.17.2.129,To-BAR_X0082,GigabitEthernet0/2/3,1,1,1,1
MYBLK02,Ethernet0/0/0,10.103.104.130,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
BSBKG05-AGG,GigabitEthernet0/2/1,10.15.100.130,To-BSLBKA01JR01,GigabitEthernet0/2/1,1,1,1,1
DHUTDW,ge-0/0/2,10.1.5.130,,ge-0/0/2,1,1,1,1
MBSML23,GigabitEthernet0/2/2,10.97.102.133,To-MB5802-CRSLMGW1,GigabitEthernet0/2/2,1,1,1,1
BSJM01_DHK_X1167,GigabitEthernet0/2/1,10.206.1.128,To-JPMLDB01HR01,GigabitEthernet0/2/1,1,1,1,1
KHU_X0461,Ethernet0/0/0,10.201.4.128,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
SYMRP1,GigabitEthernet0/2/0,10.153.3.129,To-SYDEB1,GigabitEthernet0/2/0,1,1,1,1
CMKSB1,xe-0/3/0,10.43.2.128,To-CMSDRC01JR01,xe-0/3/0,1,1,1,1
BOSDRC01JR01,ge-1/3/7,10.25.0.129,,ge-1/3/7,1,1,1,1
DHBSL6,ge-0/1/0,10.1.76.131,To-DHNBP4,ge-0/1/0,1,1,1,1
DHMRPB01JR01,ge-2/3/2,10.1.0.135,To-DHGUL42-Ring140,ge-2/3/2,1,1,1,1
DHSAB9,ge-0/1/1,10.1.38.128,TO-DHMP1M_Ring-38_OH,ge-0/1/1,1,1,1,1
DHBAB1,ge-0/0/2,10.1.25.131,,ge-0/0/2,1,1,1,1
CTG_X0090,ge-1/1/0,10.195.2.130,,ge-1/1/0,1,1,1,1
MNSRK02A01ES01,Port26,172.30.101.27,To-DHKGN17,Port26,1,1,1,1
DHKNG1,ge-0/0/3,10.1.64.130,,ge-0/0/3,1,1,1,1
DHKNG1,ge-0/0/2,10.1.64.130,,ge-0/0/2,1,1,1,1
DHKNG1,ge-0/0/1,10.1.64.130,,ge-0/0/1,1,1,1,1
DHKNG1,ge-0/0/0,10.1.64.130,,ge-0/0/0,1,1,1,1
DHK_M1251,ge-0/1/4,10.1.142.133,,ge-0/1/4,1,1,1,1
DHK_M1251,ge-0/1/5,10.1.142.133,,ge-0/1/5,1,1,1,1
CGUHS3,ge-0/1/3,10.33.7.132,,ge-0/1/3,1,1,1,1
DHUTRC01ES01,Port2,172.30.1.162,ICON Summit-Uttara,Port2,1,1,1,1
BMASG02,ge-0/2/0,10.43.104.128,COM_RING104_BMASG02-BMSDR20,ge-0/2/0,1,1,1,1
DHTJG6,ge-0/0/1,10.1.6.128,,ge-0/0/1,1,1,1,1
DHTJG6,ge-0/0/0,10.1.6.128,,ge-0/0/0,1,1,1,1
DHTJG6,ge-0/0/2,10.1.6.128,,ge-0/0/2,1,1,1,1
NGFAT4,GigabitEthernet0/2/3,10.109.104.136,"HUAWEI, GigabitEthernet0/2/3 Interface",GigabitEthernet0/2/3,1,1,1,1
DHHTP4,ge-0/2/1,10.1.32.133,To_DHKBN1_Ring-32_OH+UG,ge-0/2/1,1,1,1,1
NAR0015A01ES01,Port2,172.30.109.2,Icon Info MOT-Shiddergonj,Port2,1,1,1,1
GPHL1I,GigabitEthernet0/2/4,10.55.1.131,"HUAWEI, GigabitEthernet0/2/4 Interface",GigabitEthernet0/2/4,1,1,1,1
CGCTP2A01ES01,Port24,172.30.33.126,To-CGCTP2,Port24,1,1,1,1
DHK_X1124,ge-0/2/0,10.4.32.131,To-DHK_X3255-BL-Ring-32,ge-0/2/0,1,1,1,1
DHK_X0765,ge-1/1/1,10.191.1.128,,ge-1/1/1,1,1,1,1
DHK_X0765,ge-1/1/0,10.191.1.128,,ge-1/1/0,1,1,1,1
DHJTB05,ge-0/1/0,10.1.181.131,DHJTB44,ge-0/1/0,1,1,1,1
SNJGN01,Ethernet0/0/0,10.151.100.130,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
DHPLBE,xe-0/3/0,10.1.50.133,To-DHPLB6_Ring-50_OH,xe-0/3/0,1,1,1,1
BSDH03_DHK_X2065,xe-1/3/1,10.4.45.130,To-DHK_X9001,xe-1/3/1,1,1,1,1
DHKKT50,ge-0/2/1,10.1.154.131,To-DHKKT13_Ring-154_OH,ge-0/2/1,1,1,1,1
DHK_X2054,GigabitEthernet0/2/2,10.192.5.129,"HUAWEI, GigabitEthernet0/2/2 Interface",GigabitEthernet0/2/2,1,1,1,1
TNMZP04,GigabitEthernet0/2/2,10.161.105.130,To- TNMZP09,GigabitEthernet0/2/2,1,1,1,1
BL-HO-GZ03,ge-1/2/2,10.192.100.128,,ge-1/2/2,1,1,1,1
PTSDRB01JR01,me0,10.125.0.128,,me0,1,1,1,1
CGCDG23,ge-0/1/0,10.33.111.129,,ge-0/1/0,1,1,1,1
BGMNG02,GigabitEthernet0/2/16,10.9.101.130,"HUAWEI, GigabitEthernet0/2/16 Interface",GigabitEthernet0/2/16,1,1,1,1
HGSJBP01JR01,GigabitEthernet0/2/24,10.59.0.128,To-HA5505_MX_104,GigabitEthernet0/2/24,1,1,1,1
DHLBGK,ge-0/1/0,10.1.90.130,To-DHLBG7,ge-0/1/0,1,1,1,1
DHSNP2,ge-0/2/1,10.1.47.129,To-DHSNP5_Ring-47_OH+UG,ge-0/2/1,1,1,1,1
PBISRA01ECS01,Port12,172.30.121.2,BracNet_DHK_to_PBISR01_333,Port12,1,1,1,1
KUBRM01,GigabitEthernet0/2/25,10.85.101.132,To-KUSDRC01JR01,GigabitEthernet0/2/25,1,1,1,1
DHBANC01JR01,xe-5/2/0,10.1.0.128,To-FIROZ-HO,xe-5/2/0,1,1,1,1
CGKHLM,ge-0/0/1,10.33.13.128,,ge-0/0/1,1,1,1,1
JOY0008,ge-0/2/1,10.69.201.130,To-JOY0005_JYP-TT-RING-201,ge-0/2/1,1,1,1,1
DHK_X2197,GigabitEthernet0/2/19,10.192.5.128,To-DHK_X2054,GigabitEthernet0/2/19,1,1,1,1
NSSDR09,GigabitEthernet0/2/20,10.111.100.130,,GigabitEthernet0/2/20,1,1,1,1
NAO0004,ge-0/2/1,10.105.201.129,To-NAO0009_NAO-TT-RING-201,ge-0/2/1,1,1,1,1
KHU_X0146,GigabitEthernet0/2/0,10.205.1.128,Active service_BL,GigabitEthernet0/2/0,1,1,1,1
CGRNG01,ge-0/2/1,10.33.164.129,,ge-0/2/1,1,1,1,1
CGRNG01,ge-0/2/0,10.33.164.129,,ge-0/2/0,1,1,1,1
CGAKTC01ES01,Port7,172.30.33.14,Vertex ICX,Port7,1,1,1,1
CTG_X0740,xe-1/3/1,10.35.4.128,To-CTG_X0733,xe-1/3/1,1,1,1,1
RAJ_X9006,xe-1/3/0,10.216.2.129,To-RAJ_X9009-GBG-BL-RING-2,xe-1/3/0,1,1,1,1
DHPTN25,ge-0/2/1,10.1.219.128,To-DHPTNC01,ge-0/2/1,1,1,1,1
DHK_X0965,xe-1/3/1,10.4.10.128,To-DHK_X1690,xe-1/3/1,1,1,1,1
CGPTA04,xe-0/3/1,10.33.100.153,To-CGCND16,xe-0/3/1,1,1,1,1
SPSDR03,GigabitEthernet0/2/25,10.145.101.128,"HUAWEI, GigabitEthernet0/2/25 Interface",GigabitEthernet0/2/25,1,1,1,1
CGLHG03,xe-0/3/1,10.33.168.129,To-CGLHG54,xe-0/3/1,1,1,1,1
DHJTB04,ge-0/2/3,10.1.104.133,,ge-0/2/3,1,1,1,1
CM2607,xe-2/0/1,10.43.100.129,COM_RING100_CM2607-CMCDGB01JR01,xe-2/0/1,1,1,1,1
DHUTDW,ge-0/1/2,10.1.5.130,,ge-0/1/2,1,1,1,1
DHK_X1771,Eth-Trunk0,10.192.3.131,"HUAWEI, Eth-Trunk0 Interface",Eth-Trunk0,1,1,1,1
DHRMPW,ge-0/1/0,10.1.70.134,To-DHKHLC,ge-0/1/0,1,1,1,1
MBSDR02,Ethernet0/0/0,10.97.103.131,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
DHUAT7,ge-0/1/0,10.1.52.134,To-DHKHNN_Ring-52_OH,ge-0/1/0,1,1,1,1
DHUTRB,ge-0/1/3,10.1.5.133,To-BNCCHQ,ge-0/1/3,1,1,1,1
DC-SW-01,gi8,172.16.116.2,,gi8,1,1,1,1
JSBNPC01ES01,Port7,172.30.63.10,UNI:tlnt_231218_013_nb,Port7,1,1,1,1
JSSDR20,GigabitEthernet0/2/15,10.63.103.129,UNI:JSSDR20-GE0/2/15 -agni_181118_055_nd,GigabitEthernet0/2/15,1,1,1,1
DHJSHF_DHL048,ge-0/2/0,10.1.2.133,To-DHGULA_Ring-02_OH,ge-0/2/0,1,1,1,1
DHBANT02ECS01,Port13,172.30.5.104,DHBANT02ECS01-Eth_1/13-Banglalion,Port13,1,1,1,1
DHKRBC01JR01,ge-4/3/7,10.1.0.130,To-DHK_X0294-DHK-BL-RING-23,ge-4/3/7,1,1,1,1
DHJSH7,ge-0/2/2,10.1.73.128,,ge-0/2/2,1,1,1,1
DHJSH7,ge-0/2/3,10.1.73.128,,ge-0/2/3,1,1,1,1
DHSHM15,ge-0/2/0,10.1.102.131,TO-RING102_DHSHM10-OH,ge-0/2/0,1,1,1,1
DHMRPB01JR01,ge-0/2/1,10.1.0.135,To-DHMDP12-Ring209,ge-0/2/1,1,1,1,1
SKSDRB01JR01,xe-2/0/0,10.143.0.129,To-SKSDR01-AGG,xe-2/0/0,1,1,1,1
CGDMG12,ge-0/2/1,10.33.103.134,To-Ring-103_CGDMG06-OH,ge-0/2/1,1,1,1,1
DHUTRB01JR01,ge-0/3/0,10.1.0.131,To-DHUTT37-Ring159,ge-0/3/0,1,1,1,1
CXTKN12,ge-1/0/2,10.45.100.133,,ge-1/0/2,1,1,1,1
KHU_X0896,GigabitEthernet0/2/4,10.199.1.129,To-JHSDRP01JR01,GigabitEthernet0/2/4,1,1,1,1
DHK_X2241,GigabitEthernet0/2/23,10.229.2.129,"HUAWEI, GigabitEthernet0/2/23 Interface",GigabitEthernet0/2/23,1,1,1,1
DHBAR8,ge-0/0/3,10.1.4.132,,ge-0/0/3,1,1,1,1
DHBAR8,ge-0/0/2,10.1.4.132,,ge-0/0/2,1,1,1,1
TGSDR01A01ES01,Port2,172.30.163.2,ADN-DHK_TGSDR01,Port2,1,1,1,1
NOSNM12,ge-0/2/0,10.119.113.130,,ge-0/2/0,1,1,1,1
MYTRL01,Eth-Trunk0,10.103.103.130,To-SK_link,Eth-Trunk0,1,1,1,1
BMASJP01JR01,ge-1/0/1,10.27.0.128,To-BMSDR16,ge-1/0/1,1,1,1,1
DHSBZA01ES01,Port1,172.30.1.227,Squareinfo DHK-SAVAR,Port1,1,1,1,1
BSSDRB01JR01,xe-2/0/2,10.15.0.129,To-BSBKG05,xe-2/0/2,1,1,1,1
PALTAN-IIG-NEXUS-SW4.summitiig.n,Ethernet1/1,172.16.201.78,TO-PALTAN-POLICY-RTR-Te0/0/0/2-LINK-1,Ethernet1/1,1,1,1,1
CGHLS22,ge-0/2/3,10.33.107.133,TO-CGUHSL-GP,ge-0/2/3,1,1,1,1
DHK_X0294,ge-1/1/0,10.4.23.131,,ge-1/1/0,1,1,1,1
DHK_X0294,ge-1/1/1,10.4.23.131,,ge-1/1/1,1,1,1,1
JSSRS02,GigabitEthernet0/2/17,10.63.102.131,"HUAWEI, GigabitEthernet0/2/17 Interface",GigabitEthernet0/2/17,1,1,1,1
SYBSW01,GigabitEthernet0/2/4,10.153.107.131,To-Ring_201-SYL4030_OH,GigabitEthernet0/2/4,1,1,1,1
DHSVR01,GigabitEthernet0/2/24,10.1.211.131,To-DHSVR24,GigabitEthernet0/2/24,1,1,1,1
CGBAK22,ge-0/2/0,10.33.113.132,To-Ring_113-CGPCH03-OH,ge-0/2/0,1,1,1,1
FNSNG04,ge-0/1/2,10.51.104.129,,ge-0/1/2,1,1,1,1
FNSNG04,ge-0/1/0,10.51.104.129,,ge-0/1/0,1,1,1,1
NTBGT02,ge-0/2/2,10.113.101.130,,ge-0/2/2,1,1,1,1
BSBKG01,GigabitEthernet0/2/3,10.15.102.128,BANBEIS_Connection,GigabitEthernet0/2/3,1,1,1,1
DHSBB15,ge-0/2/0,10.1.120.129,To-DHSBB04-OH,ge-0/2/0,1,1,1,1
DHPTNC01JR01,ge-2/3/3,10.1.0.141,To-DHSTR22-AGG,ge-2/3/3,1,1,1,1
GPSDR15,ge-0/0/0,10.55.105.138,,ge-0/0/0,1,1,1,1
BOSDRC01JR01,xe-0/0/3,10.25.0.129,To-HO_BL_RB03-Backup,xe-0/0/3,1,1,1,1
CGPCH45,ge-0/1/0,10.33.113.130,,ge-0/1/0,1,1,1,1
KHUL-IIG-SW_01,GigaEthernet0/23,172.16.204.1,KHULNA-SW1-TO-SW-2,GigaEthernet0/23,1,1,1,1
DHK_X2790,Ethernet0/0/0,10.235.4.128,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
BOSJP01,xe-1/3/0,10.25.102.129,To-BOSJP05-AGG,xe-1/3/0,1,1,1,1
JPSHBA01ES01,Trunk1,172.30.61.10,To-JPSHBA01JR01,Trunk1,1,1,1,1
MAN4012,ge-0/1/1,10.225.205.128,To_TeleTalk-2G-Service,ge-0/1/1,1,1,1,1
