Hostname,Resource Name,IP Address,Alias,Resource,Average,Minimum,Maximum,95th Percentile
NAMDB01,ge-0/0/3,10.105.100.129,NNI:NAMDB01-ge-0/0/3-NAMDBA01ECS01_NAMDB01-Eth1/24,ge-0/0/3,1,1,1,1
CGCND16,ge-0/2/0,10.33.100.154,,ge-0/2/0,1,1,1,1
CGKTL12,xe-0/3/0,10.33.132.131,To-CGKTL99,xe-0/3/0,1,1,1,1
DHK_X2297,Ethernet0/0/0,10.235.3.130,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
BGMNG01,Ethernet0/0/0,10.9.102.128,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
DHKFR06,xe-0/3/0,10.1.127.128,To-DHDHNC01JR01_Ring-127_OH+UG,xe-0/3/0,1,1,1,1
BSKU01_KHU_X0154,GigabitEthernet0/2/16,10.85.101.130,To-KUSDR01,GigabitEthernet0/2/16,1,1,1,1
JHSDRB01SE01,Port5,172.30.67.2,Asia_Pacific_DHK_JHSDRB01RJ01,Port5,1,1,1,1
NOSNM29,ge-0/2/0,10.119.108.129,,ge-0/2/0,1,1,1,1
DHMRP06,ge-0/2/0,10.1.196.128,To-FIROZ-HO,ge-0/2/0,1,1,1,1
MNSRNB01JR01,xe-1/2/0,10.101.0.129,To-MNSDR07-20G-1st-link,xe-1/2/0,1,1,1,1
MBSML01,GigabitEthernet0/2/23,10.97.102.132,To-Switch-MBSML01A01ES01,GigabitEthernet0/2/23,1,1,1,1
NGSDR99,GigabitEthernet0/2/5,10.109.103.132,To-Ring-NAR103-DHK_X0447-BL-Site,GigabitEthernet0/2/5,1,1,1,1
DHK_X1113,ge-1/1/1,10.4.18.129,,ge-1/1/1,1,1,1,1
DHK_X1113,ge-1/1/0,10.4.18.129,,ge-1/1/0,1,1,1,1
UNMS-SW,gi28,172.20.16.56,To-ITSwSCL01_Core-06,gi28,1,1,1,1
DHGSNJ,ge-0/1/0,10.1.93.128,To-DHBNIC01JR01_OH+UG,ge-0/1/0,1,1,1,1
DHBANC01JR01,ge-2/3/8,10.1.0.128,To-DHKAF5-Ring14,ge-2/3/8,1,1,1,1
TNSDR10,ge-0/1/0,10.161.106.131,To-TNSDR02,ge-0/1/0,1,1,1,1
DHSHM41,ge-0/1/2,10.1.101.130,,ge-0/1/2,1,1,1,1
KHU_X0615,GigabitEthernet0/2/2,10.199.5.130,To-KHU_X1135-JDH-BL-RING-5,GigabitEthernet0/2/2,1,1,1,1
GBGBD08,ge-0/0/1,10.53.102.132,,ge-0/0/1,1,1,1,1
GBGBD08,ge-0/0/0,10.53.102.132,,ge-0/0/0,1,1,1,1
FNSDR09,xe-0/3/1,10.51.103.128,COM_RING103_FNDGN02-FNDGN01,xe-0/3/1,1,1,1,1
DHSAVW,ge-0/1/1,10.1.41.131,To-Savar-HO_OH+UG,ge-0/1/1,1,1,1,1
MYBLK21A01ES01,Port23,172.30.103.35,To-MYBLK03A01ES01,Port23,1,1,1,1
DHKRBC01JR01,xe-3/0/3,10.1.0.130,To-Earth_Telecommunication_10G_AGG_Backup,xe-3/0/3,1,1,1,1
DHK_X1785,GigabitEthernet0/2/16,10.229.3.131,To-DHK_X1889,GigabitEthernet0/2/16,1,1,1,1
SYL_X0446,GigabitEthernet0/2/6,10.156.2.129,To-SYL_X0244,GigabitEthernet0/2/6,1,1,1,1
CTG-IIG-SW3,GigaEthernet0/13,172.16.201.21,,GigaEthernet0/13,1,1,1,1
CTG-IIG-SW3,GigaEthernet0/12,172.16.201.21,,GigaEthernet0/12,1,1,1,1
CGAKS1A01ES01,Port24,172.30.33.150,To-CGAKS1,Port24,1,1,1,1
TNPTR4,GigabitEthernet0/2/5,10.161.101.129,to UNI:TNPTR4-ge-0/1/3-agni_181118_048_nd,GigabitEthernet0/2/5,1,1,1,1
FIROZ-HO,ge-0/2/3,10.1.100.157,To-DHTEJ36_Ring_218,ge-0/2/3,1,1,1,1
DHMOHT01ECS01,Trunk1,172.30.5.90,NNI:DHKRBC01JR01-xe-4/0/9-DHMOHT01ECS01-Eth 1/25,Trunk1,1,1,1,1
NOCTK02,ge-0/0/0,10.119.112.130,,ge-0/0/0,1,1,1,1
JESDRC01JR01,xe-1/1/0,10.63.0.131,,xe-1/1/0,1,1,1,1
DHMJH08,ge-0/0/0,10.1.117.128,,ge-0/0/0,1,1,1,1
DHMJH08,ge-0/0/2,10.1.117.128,,ge-0/0/2,1,1,1,1
DHGGPT,ge-0/1/0,10.3.5.130,To-DHCBHI,ge-0/1/0,1,1,1,1
DHKGN10,ge-1/0/0,10.1.167.134,,ge-1/0/0,1,1,1,1
DHK_X2609,GigabitEthernet0/2/23,10.229.4.130,"HUAWEI, GigabitEthernet0/2/23 Interface",GigabitEthernet0/2/23,1,1,1,1
TGSDR01A01ES01,Port15,172.30.163.2,CCL-DHK-TGSDR01,Port15,1,1,1,1
DHKRBBA01ES01,Port24,172.30.1.70,To-DHKRBB_ge-0/1/7,Port24,1,1,1,1
MBSDR04,GigabitEthernet0/2/18,10.97.102.135,UNI:MBSDR04-ge-0/1/2-cpcl_061118_004_nd,GigabitEthernet0/2/18,1,1,1,1
MGSDR01,ge-0/1/3,10.95.101.130,To-DHDHM36_Ring-162_OH,ge-0/1/3,1,1,1,1
KHU_X0536,Eth-Trunk0,10.223.1.128,"HUAWEI, Eth-Trunk0 Interface",Eth-Trunk0,1,1,1,1
JPSDRB01HR01,GigabitEthernet0/2/16,10.61.0.128,uni:brcn_061118_029_nb,GigabitEthernet0/2/16,1,1,1,1
CGLHG54,xe-0/3/1,10.33.168.130,To-CXCKR18,xe-0/3/1,1,1,1,1
BSSDRC01ES02,Port8,172.30.15.6,VLAN_ID_3899,Port8,1,1,1,1
SNSDR02A01ES01,Port24,172.30.151.14,To-SNSDR02,Port24,1,1,1,1
CGBAK6,ge-0/0/0,10.33.15.131,To-GP_CGBAK6,ge-0/0/0,1,1,1,1
GPSDRB01JR01,xe-1/2/0,10.55.0.129,To-GPSDRB01JR02_MX240,xe-1/2/0,1,1,1,1
DHUTK04,ge-0/1/0,10.1.157.130,,ge-0/1/0,1,1,1,1
TNKLH04A01ES01,Port5,172.30.161.14,,Port5,1,1,1,1
TNKLH04A01ES01,Port6,172.30.161.14,,Port6,1,1,1,1
NE-Switch01,fa31,172.16.116.4,,fa31,1,1,1,1
CXSDRC01JR01,xe-2/0/3,10.45.0.130,To-CXRMU01,xe-2/0/3,1,1,1,1
PALTAN-IIG-AGG.summitiig.net,TenGigE0/1/0/11,172.16.201.241,TO-PALTAN-CORE-Te4/0/5,TenGigE0/1/0/11,1,1,1,1
CMSDRC01ES01,Port18,172.30.43.10,AGNI_BANANI_COMILLA,Port18,1,1,1,1
Alekharchar-HO_MX240,xe-2/2/3,10.43.100.150,COM_RING100_CM2607,xe-2/2/3,1,1,1,1
BAR_X0119,Eth-Trunk0,10.17.2.129,"HUAWEI, Eth-Trunk0 Interface",Eth-Trunk0,1,1,1,1
NOMJD03_Router,xe-0/3/1,10.87.101.131,To-NOK-RING-106_NOKBH05,xe-0/3/1,1,1,1,1
DHLLB16,ge-0/1/0,10.1.189.133,,ge-0/1/0,1,1,1,1
DHK_X0869,ge-0/2/2,10.4.37.130,,ge-0/2/2,1,1,1,1
DHK_X0869,ge-0/2/3,10.4.37.130,,ge-0/2/3,1,1,1,1
DR-NEXUS-SW-6.summitiig.net,Ethernet1/37,192.168.110.69,"GP-BANANI-TO-UTTARA-PROTECTION-2(siig_250716_14_ic,ODF-4,Tray-6,",Ethernet1/37,1,1,1,1
DHKRBC01JR01P_MX480,xe-0/0/0,10.1.0.152,,xe-0/0/0,1,1,1,1
JPMDG02,GigabitEthernet0/2/6,10.147.101.129,To-JPSDR02_RING_101_OH,GigabitEthernet0/2/6,1,1,1,1
JPMDG02,GigabitEthernet0/2/4,10.147.101.129,To-JPMLDB01HR01,GigabitEthernet0/2/4,1,1,1,1
ITSwTK4-0,gi49,172.20.16.43,MD_Sir_IP_Singapore,gi49,1,1,1,1
EQUINIX-SG1-RTR1,TenGigE0/0/0/39,172.16.201.247,@@ SMW5-LINK1-TO-DR-CORE-VIA-EQUINIX-SG3-SMW5-BSCCL-SCL @@,TenGigE0/0/0/39,1,1,1,1
Alekharchar-HO_MX240,xe-2/0/3,10.43.100.150,,xe-2/0/3,1,1,1,1
DHPTNC01JR01,ge-3/2/9,10.1.0.141,To-DHCKBB-Ring-90,ge-3/2/9,1,1,1,1
MYM0002,ge-0/1/1,10.103.201.128,To-MYM0003,ge-0/1/1,1,1,1,1
BGSDR07,GigabitEthernet0/2/17,10.9.101.128,"HUAWEI, GigabitEthernet0/2/17 Interface",GigabitEthernet0/2/17,1,1,1,1
DHSTR05,ge-0/2/1,10.1.110.132,To-Ring_110-DHSTR13-OH,ge-0/2/1,1,1,1,1
SRSDR01,GigabitEthernet0/2/17,10.147.101.133,"HUAWEI, GigabitEthernet0/2/17 Interface",GigabitEthernet0/2/17,1,1,1,1
NSSBP03A01ES01,Port24,172.30.111.10,TO-NSSBP03_ge-0/1/7,Port24,1,1,1,1
JHSDR06-AGG,Ethernet0/0/0,10.67.100.128,"HUAWEI, Ethernet0/0/0 Interface",Ethernet0/0/0,1,1,1,1
DHK_X1925,Eth-Trunk0,10.193.4.128,"HUAWEI, Eth-Trunk0 Interface",Eth-Trunk0,1,1,1,1
KHU_X0012,GigabitEthernet0/2/1,10.75.1.128,To-KHU_X0187,GigabitEthernet0/2/1,1,1,1,1
DHDHNL,ge-0/0/2,10.1.61.130,,ge-0/0/2,1,1,1,1
KHU_X0615,GigabitEthernet0/2/1,10.199.5.130,"HUAWEI, GigabitEthernet0/2/1 Interface",GigabitEthernet0/2/1,1,1,1,1
TAN0005,ge-0/2/0,10.220.203.130,To-TN4010,ge-0/2/0,1,1,1,1
MNTGB05,Eth-Trunk0,10.101.102.131,"HUAWEI, Eth-Trunk0 Interface",Eth-Trunk0,1,1,1,1
SYL_X0075,GigabitEthernet0/2/0,10.210.1.128,"HUAWEI, GigabitEthernet0/2/0 Interface",GigabitEthernet0/2/0,1,1,1,1
MGSDRP01JR01,ge-0/0/0,10.95.0.128,PGCB-Manikgonj,ge-0/0/0,1,1,1,1
DHK_X0593,xe-1/3/0,10.4.8.132,To-DHK_X0694,xe-1/3/0,1,1,1,1
CHU0004,ge-0/1/1,10.205.202.128,To-CHU0005,ge-0/1/1,1,1,1,1
DHSTR26,ge-0/1/0,10.1.108.128,,ge-0/1/0,1,1,1,1
JHSDRB01JR01,ge-0/0/6,10.67.0.130,To-KHU_X0064BL_JDH-BL-RING-5,ge-0/0/6,1,1,1,1
CMSDRC01ES01,Port6,172.30.43.10,ADNSL_DHK_Comilla_PoP_2,Port6,1,1,1,1
BMNBG01,xe-0/3/0,10.27.101.128,,xe-0/3/0,1,1,1,1
NOSNM04,ge-0/2/1,10.119.113.131,,ge-0/2/1,1,1,1,1
MHSDR01-AGG,GigabitEthernet0/2/24,10.99.100.128,To-MHGNG01-RING101,GigabitEthernet0/2/24,1,1,1,1
MHSDR01-AGG,GigabitEthernet0/2/25,10.99.100.128,To-CDSDR03_MX,GigabitEthernet0/2/25,1,1,1,1
DHBANC01ECS05,Port1,172.30.5.102,NNI:DHBANC01ECS05-Eth 1/1-DHBANT01ECS01-Eth 1/1,Port1,1,1,1,1
HGNBG07,GigabitEthernet0/2/16,10.59.102.133,"HUAWEI, GigabitEthernet0/2/16 Interface",GigabitEthernet0/2/16,1,1,1,1
RSSDRB01ES01,Port4,172.30.131.10,Aamra_DHK_RajshahiPoP,Port4,1,1,1,1
DHKRBC01JR01_MX104,me0,10.1.0.149,,me0,1,1,1,1
DHDHNC01JR01,ge-2/3/2,10.1.0.129,,ge-2/3/2,1,1,1,1
BBA0027,ge-0/0/0,10.196.201.128,To_TeleTalk-2G-Service,ge-0/0/0,1,1,1,1
PALTAN-SW-5.summitiig.net,Te1/22,172.16.201.97,@@ISN-DHAKA#isnl_151118_013_ic#ODF-1- 144-T-1-P-3#,Te1/22,1,1,1,1
BHFNC01A01ES02,Trunk ID 0001,172.30.23.6,,Trunk ID 0001,1,1,1,1
CGPTG13,ge-0/2/0,10.33.136.130,,ge-0/2/0,1,1,1,1
DHK_X1711,ge-1/1/1,10.191.2.131,,ge-1/1/1,1,1,1,1
MYSDR02,GigabitEthernet0/2/25,10.103.103.135,TO-MYSDR10_RING_103_OH,GigabitEthernet0/2/25,1,1,1,1
DHSIBI,ge-0/2/2,10.1.74.131,,ge-0/2/2,1,1,1,1
CGAGBC01JR02,xe-2/0/3,10.33.0.128,NNI:CGAGBC01JR02-xe-2/0/3-CGSLC1-xe-2/0/1,xe-2/0/3,1,1,1,1
NGSDRB01JR02_MX240,xe-1/0/1,10.109.0.151,To-NGSDR99,xe-1/0/1,1,1,1,1
CTG_X0517,ge-0/2/1,10.231.4.128,,ge-0/2/1,1,1,1,1
CTG_X0517,ge-0/2/0,10.231.4.128,,ge-0/2/0,1,1,1,1
KHDLPP01HR02,GigabitEthernet0/2/3,10.73.0.131,,GigabitEthernet0/2/3,1,1,1,1
CTG_X0156,ge-1/1/0,10.195.3.128,,ge-1/1/0,1,1,1,1
CTG_X0156,ge-1/1/1,10.195.3.128,,ge-1/1/1,1,1,1,1
CTG_X0156,ge-1/1/2,10.195.3.128,,ge-1/1/2,1,1,1,1
GPSDRB01JR02_MX240,xe-2/2/3,10.55.0.150,To-GPMWNP01JR01_2nd_Link,xe-2/2/3,1,1,1,1
KHSDRC01ES01,Port1,172.30.73.2,TO-Khulna_SCL_POP,Port1,1,1,1,1
KHSDRC01ES01,Port3,172.30.73.2,TO-Khulna_SCL_POP,Port3,1,1,1,1
CXSDRB4,ge-0/2/0,10.45.102.128,To-CXSDRC01JR01,ge-0/2/0,1,1,1,1
KHSDRC01ES01,Port8,172.30.73.2,Intercloud_AGG_1,Port8,1,1,1,1
KHSDRC01ES01,Port9,172.30.73.2,Intercloud_AGG_1,Port9,1,1,1,1
Savar-HO,ge-1/2/2,10.1.0.134,To-Ring41-DHSAVW,ge-1/2/2,1,1,1,1
BHBRU3,GigabitEthernet0/2/1,10.23.1.128,To-BHBRN05_Robi,GigabitEthernet0/2/1,1,1,1,1
SGCHL01-AGG,ge-0/2/0,10.149.100.128,,ge-0/2/0,1,1,1,1
GAZ0012,ge-0/1/1,10.55.202.128,To-GAZ0025,ge-0/1/1,1,1,1,1
KHDLPP01HR02,GigabitEthernet0/2/9,10.73.0.131,,GigabitEthernet0/2/9,1,1,1,1
CGSKDB02JNR01,ge-0/2/0,10.33.0.131,To-NNI:CGSKDB02JNR01-ge-0/2/0-CGSKDB02JR01-ge-0/1/0,ge-0/2/0,1,1,1,1
DHPLBV,xe-0/3/1,10.1.15.133,To-DHMRPE_Ring-15_OH,xe-0/3/1,1,1,1,1
CTG_X0685,xe-1/3/0,10.195.2.128,To-CMSDRC01JR01,xe-1/3/0,1,1,1,1
FNSDRB01JR01,xe-2/0/2,10.51.0.130,To-FNSDR47,xe-2/0/2,1,1,1,1
RPSDR11,ge-0/1/1,10.141.103.135,,ge-0/1/1,1,1,1,1
DHK_X0373,xe-1/3/0,10.4.5.130,To-DHK_X2037,xe-1/3/0,1,1,1,1
DHK_X4145,ge-0/1/1,10.4.7.128,To-DHK_X2514,ge-0/1/1,1,1,1,1
CGPCH43,ge-0/2/1,10.33.113.129,To-Ring_113-CGPCH45-OH,ge-0/2/1,1,1,1,1
MYSDRC01JR01,xe-1/0/0,10.103.0.129,MYSDRP01JR01_AGG,xe-1/0/0,1,1,1,1
DHHSBP01JR01,xe-0/3/1,10.1.0.150,,xe-0/3/1,1,1,1,1
DHHSBP01JR01,xe-0/3/0,10.1.0.150,,xe-0/3/0,1,1,1,1
DHK_X0402,ge-1/1/1,10.4.17.130,,ge-1/1/1,1,1,1,1
DHK_X0402,ge-1/1/0,10.4.17.130,,ge-1/1/0,1,1,1,1
CGCDGT01,ge-0/1/3,10.33.100.139,,ge-0/1/3,1,1,1,1
DHSTR28,ge-0/2/0,10.1.110.131,To-RING_110-DHSTR24-OH,ge-0/2/0,1,1,1,1
